observation_url,id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,___Arthropod_group,___Bug_photoshoot,___Arthropod_taxon,___Quantity,___Body_length_(mm),___Developmental_stage,___Activity,___Review_(Admin_Only),___Host_plant_phenology,___Host_plant_species,___Is_the_host_plant_wet_,___Host_plant_photoshoot,___Survey_method,___Time_of_survey,___Survey_duration_(mn),__Host_folivory_type_(pick_all_that_applies),__Weather,____Temperature_(C),____Windspeed__Beaufort_Scale_,___Host_folivory_score,_____Species_ID_confidence_level_(for_set_of_records)_(%),___Humidity_(%),__Track_type,__Sign_of_activity_,___Track_photoshoot,___Curator_s_Notes_(Admin_Only),Image 1,________Expertise_level_(for_this_set_of_records),Image 2
"https://www.anecdata.org/posts/view/265929","265929","613763","felixflax","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.346531,-71.20879,"true","","","2024-06-26 11:07:52+0000","United States","Middlesex County","Massachusetts","Newton",null,"","True Bugs","/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719415065_JPEG_20240626_110924_1032253664151664491-jpg-1.jpeg","Mirini","1","8","Adult","Feeding","Sp. ID in progress: CO: Corrected host form Viburnum to Cornus amomum + Refined taxon unit to tribe + added stage + suspecting length is slightly overestimated.","Flowers or flower buds // Open flowers // Mature leaf","Cornus amomum (silky dogwood)","No","/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719414948_JPEG_20240626_110758_1278649381285265058-jpg-1.jpeg,/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719415052_JPEG_20240626_110810_2941233022061674270-jpg-1.jpeg","Walking","11:07:56","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265927","265927","613728","felixflax","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.258645,-71.184554,"true","","","2024-06-26 10:30:00+0000","United States","Middlesex County","Massachusetts","Newton",null,"","Spiders","/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719412394_1000003165-1719412239585-jpeg-1.jpeg","Leucauge","1","12","","Moving","","Fruiting // Mature leaf","Rosa multiflora (multiflora rose)","No","/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719412393_JPEG_20240626_103006_1345394702144604196-jpg-1.jpeg","Walking","10:30:04","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265923","265923","613686","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.473932,-71.113745,"true","","","2024-06-26 08:34:50+0000","United States","Middlesex County","Massachusetts","Somerville",null,"Maybe L. pectorale / iNat record at https://www.inaturalist.org/observations/225296408","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719405552_96440942-1719405507194-jpeg-1.jpeg,/img/uploads/posts/2024-06-26/_apu_2024-06-26_667c12f9c4cf8Lasioglossum-jpeg.jpeg","Lasioglossum","1","5","Adult","Foraging","","Flowers or flower buds // Open flowers // Mature leaf","Rudbeckia hirta (black-eyed Susan)","No","/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719405546_2142405732-1719405391872-jpeg-1.jpeg,/img/uploads/posts/2024-06-26/_apu_2024-06-26_1719405547_1936883175-1719405392120-jpeg-1.jpeg","Area search","08:35:57","10","Surface-feeding // Leaf mine presence","Sunny","26","4 (13-18 mph or 20-28 kmh)","Trace (1-5%)","90","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613502","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323373_1602608561-1719322492291-jpeg-1.jpeg","Augochlora pura","1","7","Adult","Foraging","Defer to AS: CO: The length range for that species is 6-8 mm, I found that it was slightly smaller than 8mm. I think 1mm disagreement is probably okay | AS - ID looks good, but A. pura seems to generally be 8 mm based on what I can find. Thoughts?","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613503","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323375_608373014-1719322655949-jpeg-1.jpeg","Bombus impatiens","2","14","Adult","Foraging","Reviewed (AS)","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613504","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323376_1542277914-1719322835406-jpeg-1.jpeg","Bombus griseocollis","3","14","Adult","Foraging","Reviewed (AS)","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613505","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323378_638679691-1719323045157-jpeg-1.jpeg","Apis mellifera (honey bee)","4","14","Adult","Foraging","Reviewed (AS)","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613506","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Ants","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323379_1930674951-1719322923620-jpeg-1.jpeg","Formicidae (ants)","2","5","Adult","Moving","Defer to AM: 1st review by AS","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613507","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Flies","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323380_1101355959-1719322964197-jpeg-1.jpeg","Brachycera (circular-seamed flies)","1","3","Adult","Vigilant","Sp. ID in progress: AS","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
"https://www.anecdata.org/posts/view/265862","265862","613508","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.478393,-71.054853,"true","","","2024-06-25 09:30:42+0000","United States","Middlesex County","Massachusetts","Somerville",null,"A dense square meter of the host / Might have to split the ants, they might be distinct species / iNat records at https://tinyurl.com/2s43k345","Beetles","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719323381_1146404363-1719323019504-jpeg-1.jpeg","Anomala orientalis","1","12","Adult","Vigilant","Reviewed (AS)","Flowers or flower buds // Open flowers // Mature leaf","Hydrangea quercifolia (oakleaf hydrangea)","No","","Area search","09:31:32","10","Margin-feeding // Hole-feeding","Sunny","25","3 (8-12 mph or 12-19 kmh)","Trace (1-5%)","95","55","","","","","","",""
