observation_url,id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,___Survey_method,___Time_of_survey,___Is_the_host_plant_wet_,___Host_plant_photoshoot,___Host_plant_species,___Host_plant_phenology,___Arthropod_group,___Bug_photoshoot,___Arthropod_taxon,___Quantity,___Body_length_(mm),___Developmental_stage,___Activity,___Review_(Admin_Only),___Survey_duration_(mn),__Host_folivory_type_(pick_all_that_applies),__Weather,____Temperature_(C),____Windspeed__Beaufort_Scale_,___Host_folivory_score,_____Species_ID_confidence_level_(for_set_of_records)_(%),___Humidity_(%),___Trapping_method,__Track_type,__Sign_of_activity_,___Track_photoshoot
"https://www.anecdata.org/posts/view/266698","266698","615892","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.520095,-71.258235,"true","","","2024-07-04 12:15:30+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Incidental","12:15:37","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720109816_1000034888-1720109752957-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720109817_1000034908-1720109780050-jpeg-1.jpeg","Bombus griseocollis","2","17","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266695","266695","615883","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.514316,-71.265609,"true","","","2024-07-04 10:46:08+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","10:00","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104939_1000034844-1720104403332-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Moths and Butterflies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104941_1000034849-1720104435288-jpeg-1.jpeg","Danaus plexippus (Monarch)","1","2","Larva or caterpillar","Resting","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266695","266695","615884","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.514316,-71.265609,"true","","","2024-07-04 10:46:08+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","10:00","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104939_1000034844-1720104403332-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104942_1000034851-1720104572403-jpeg-1.jpeg,/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104943_1000034852-1720104572861-jpeg-1.jpeg","Bombus griseocollis","2","18","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266695","266695","615885","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.514316,-71.265609,"true","","","2024-07-04 10:46:08+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","10:00","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104939_1000034844-1720104403332-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Beetles","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104944_1000034839-1720104685129-jpeg-1.jpeg","Tetraopes tetrophthalmus (red milkweed beetle)","2","11","Adult","Mating","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266695","266695","615886","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.514316,-71.265609,"true","","","2024-07-04 10:46:08+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","10:00","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104939_1000034844-1720104403332-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Beetles","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104945_1000034858-1720104717026-jpeg-1.jpeg","Tetraopes tetrophthalmus (red milkweed beetle)","2","10","Adult","Moving","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266695","266695","615887","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.514316,-71.265609,"true","","","2024-07-04 10:46:08+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","10:00","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104939_1000034844-1720104403332-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Flies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104946_1000034855-1720104806934-jpeg-1.jpeg","Lucilia","1","6","Adult","Feeding","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266695","266695","615888","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.514316,-71.265609,"true","","","2024-07-04 10:46:08+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","10:00","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104939_1000034844-1720104403332-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Ants","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720104946_1000034860-1720104840500-jpeg-1.jpeg","Camponotus pennsylvanicus (black carpenter ant)","2","7","Adult","Moving","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266688","266688","615876","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.384053,-71.227161,"true","","","2024-07-04 10:10:03+0000","United States","Middlesex County","Massachusetts","Woburn","`01801","Emerging! Video at: https://photos.app.goo.gl/PiqdKsQcnWKruxWn7 | EwA iNat at https://www.inaturalist.org/observations/227286333","Transect","10:10:22","No","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720102434_1913245091-1720102328722-jpeg-1.jpeg","Quercus ilicifolia (bear oak)","Fruiting // Mature leaf","True Bugs","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720102437_1245459564-1720102427032-jpeg-1.jpeg","Zelus luridus","30","2","Nymph","Other: Emerging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266686","266686","615873","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.43136,-71.149591,"true","","","2024-07-04 09:50:11+0000","United States","Middlesex County","Massachusetts","Woburn","`01801","Tentative id of the viceroy pupa. Video of the Nadata at https://photos.app.goo.gl/UEHTW1hRPDVmtPnk7 | EwA iNat records at https://tinyurl.com/583eeftj","Transect","09:50:25","No","","Quercus prinoides (dwarf chinkapin oak)","Fruiting // Mature leaf","Moths and Butterflies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720101165_311819230-1720101081207-jpeg-1.jpeg","Nadata gibbosa (White-dotted Prominent)","1","25","Larva or caterpillar","Feeding","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266686","266686","615874","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.43136,-71.149591,"true","","","2024-07-04 09:50:11+0000","United States","Middlesex County","Massachusetts","Woburn","`01801","Tentative id of the viceroy pupa. Video of the Nadata at https://photos.app.goo.gl/UEHTW1hRPDVmtPnk7 | EwA iNat records at https://tinyurl.com/583eeftj","Transect","09:50:25","No","","Quercus prinoides (dwarf chinkapin oak)","Fruiting // Mature leaf","Moths and Butterflies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720101167_JPEG_20240704_095206_3043773541376564478-jpg-1.jpeg","Limenitis archippus (Viceroy)","1","7","Pupa","Pupating","","","","","","","","","","","","",""
